"IMS Entity","IMS Entity Call Leg","Node Name","IP Address","Incoming Time Stamp","Incoming Packet ID","From IMS Entity","From Node","From Interface","From Protocol","From Method","Outgoing Time Stamp","Outgoing Packet ID","To IMS Entity","To Node","To Interface","To Protocol","To Method","Forwarding Time Next Entity (s)"
iDNS,Originating,TA2D_LB_iDNS,217.243.180.12,"2017-11-06 14:34:37.161",210,S-CSCF,TA2D_S-CSCF,DNS,dns,"NAPTR query","2017-11-06 14:34:37.164",211,LB-MZ,"TA2e LB-MZ NBG-ELRT225",DNS,dns,"NAPTR query","0,003"
iDNS,Originating,TA2D_LB_iDNS,217.243.180.12,"2017-11-06 14:34:37.166",214,LB-MZ,"TA2e LB-MZ NBG-ELRT225",DNS,dns,"NAPTR response","2017-11-06 14:34:37.168",217,LB-MZ,"TA2e LB-MZ NBG-ELRT225",DNS,dns,"NAPTR query","0,002"
iDNS,Originating,TA2D_LB_iDNS,217.243.180.12,"2017-11-06 14:34:37.172",219,LB-MZ,"TA2e LB-MZ NBG-ELRT225",DNS,dns,"NAPTR response","2017-11-06 14:34:37.176",220,S-CSCF,TA2D_S-CSCF,DNS,dns,"NAPTR response","0,004"
MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,"2017-11-06 14:34:37.451",232,S-CSCF,TA2D_S-CSCF,ISC,sip,INVITE,"2017-11-06 14:34:37.461",234,S-CSCF,TA2D_S-CSCF,ISC,sip,INVITE,"0,010"
MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,"2017-11-06 14:34:37.831",244,S-CSCF,TA2D_S-CSCF,ISC,sip,"180 Ringing","2017-11-06 14:34:37.833",245,S-CSCF,TA2D_S-CSCF,ISC,sip,"180 Ringing","0,002"
MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,"2017-11-06 14:34:38.246",254,S-CSCF,TA2D_S-CSCF,ISC,sip,PRACK,"2017-11-06 14:34:38.247",255,S-CSCF,TA2D_S-CSCF,ISC,sip,PRACK,"0,001"
MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,"2017-11-06 14:34:37.078",206,S-CSCF,TA2D_S-CSCF,ISC,sip,INVITE,"2017-11-06 14:34:37.095",208,S-CSCF,TA2D_S-CSCF,ISC,sip,INVITE,"0,017"
MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,"2017-11-06 14:34:37.927",246,S-CSCF,TA2D_S-CSCF,ISC,sip,"180 Ringing","2017-11-06 14:34:37.929",247,S-CSCF,TA2D_S-CSCF,ISC,sip,"180 Ringing","0,002"
MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,"2017-11-06 14:34:38.090",252,S-CSCF,TA2D_S-CSCF,ISC,sip,PRACK,"2017-11-06 14:34:38.091",253,S-CSCF,TA2D_S-CSCF,ISC,sip,PRACK,"0,001"
P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.180.133,"2017-11-06 14:34:37.578",236,S-CSCF,TA2D_S-CSCF,Mw,sip,INVITE,"2017-11-06 14:34:37.585",237,RACS,TA2D_NBG_LISA4,Gq',diameter,Request,"0,007"
P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.180.133,"2017-11-06 14:34:37.596",238,RACS,TA2D_NBG_LISA4,Gq',diameter,"Answer (2001)","2017-11-06 14:34:37.607",239,UA,"term. UA",Gm,sip,INVITE,"0,011"
P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.181.186,"2017-11-06 14:34:37.782",242,UA,"term. UA",Gm,sip,"180 Ringing","2017-11-06 14:34:37.784",243,S-CSCF,TA2D_S-CSCF,Mw,sip,"180 Ringing","0,002"
P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.180.133,"2017-11-06 14:34:38.313",258,S-CSCF,TA2D_S-CSCF,Mw,sip,PRACK,"2017-11-06 14:34:38.315",259,UA,"term. UA",Gm,sip,PRACK,"0,002"
P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.181.186,"2017-11-06 14:34:36.912",201,UA,"orig. UA",Gm,sip,INVITE,"2017-11-06 14:34:36.918",202,RACS,TA2D_NBG_LISA1,Gq',diameter,Request,"0,006"
P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.180.133,"2017-11-06 14:34:36.930",203,RACS,TA2D_NBG_LISA1,Gq',diameter,"Answer (2001)","2017-11-06 14:34:36.942",204,S-CSCF,TA2D_S-CSCF,Mw,sip,INVITE,"0,012"
P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.180.133,"2017-11-06 14:34:37.978",248,S-CSCF,TA2D_S-CSCF,Mw,sip,"180 Ringing","2017-11-06 14:34:37.980",249,UA,"orig. UA",Gm,sip,"180 Ringing","0,002"
P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.181.186,"2017-11-06 14:34:38.018",250,UA,"orig. UA",Gm,sip,PRACK,"2017-11-06 14:34:38.020",251,S-CSCF,TA2D_S-CSCF,Mw,sip,PRACK,"0,002"
S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"2017-11-06 14:34:36.942",204,P-CSCF,TA2D_NBG-ECAT215,Mw,sip,INVITE,"2017-11-06 14:34:37.078",206,MTAS,TA2D_NBG-EATT216,ISC,sip,INVITE,"0,136"
S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"2017-11-06 14:34:37.095",208,MTAS,TA2D_NBG-EATT216,ISC,sip,INVITE,"2017-11-06 14:34:37.161",210,iDNS,TA2D_LB_iDNS,DNS,dns,"NAPTR query","0,066"
S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"2017-11-06 14:34:37.176",220,iDNS,TA2D_LB_iDNS,DNS,dns,"NAPTR response","2017-11-06 14:34:37.334",221,HSS-FE,Unknown-HSS-FE,-,diameter,Request,"0,158"
S-CSCF,"Originating & Terminating",TA2D_S-CSCF,217.243.180.5,"2017-11-06 14:34:37.346",230,HSS-FE,Unknown-HSS-FE,-,diameter,"Answer (2001)","2017-11-06 14:34:37.451",232,MTAS,TA2D_NBG-EATT216,ISC,sip,INVITE,"0,105"
S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,"2017-11-06 14:34:37.461",234,MTAS,TA2D_NBG-EATT216,ISC,sip,INVITE,"2017-11-06 14:34:37.578",236,P-CSCF,TA2D_NBG-ECAT215,Mw,sip,INVITE,"0,117"
S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,"2017-11-06 14:34:37.784",243,P-CSCF,TA2D_NBG-ECAT215,Mw,sip,"180 Ringing","2017-11-06 14:34:37.831",244,MTAS,TA2D_NBG-EATT216,ISC,sip,"180 Ringing","0,047"
S-CSCF,"Originating & Terminating",TA2D_S-CSCF,217.243.180.5,"2017-11-06 14:34:37.833",245,MTAS,TA2D_NBG-EATT216,ISC,sip,"180 Ringing","2017-11-06 14:34:37.927",246,MTAS,TA2D_NBG-EATT216,ISC,sip,"180 Ringing","0,094"
S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"2017-11-06 14:34:37.929",247,MTAS,TA2D_NBG-EATT216,ISC,sip,"180 Ringing","2017-11-06 14:34:37.978",248,P-CSCF,TA2D_NBG-ECAT215,Mw,sip,"180 Ringing","0,049"
S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"2017-11-06 14:34:38.020",251,P-CSCF,TA2D_NBG-ECAT215,Mw,sip,PRACK,"2017-11-06 14:34:38.090",252,MTAS,TA2D_NBG-EATT216,ISC,sip,PRACK,"0,070"
S-CSCF,"Originating & Terminating",TA2D_S-CSCF,217.243.180.5,"2017-11-06 14:34:38.091",253,MTAS,TA2D_NBG-EATT216,ISC,sip,PRACK,"2017-11-06 14:34:38.246",254,MTAS,TA2D_NBG-EATT216,ISC,sip,PRACK,"0,155"
S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,"2017-11-06 14:34:38.247",255,MTAS,TA2D_NBG-EATT216,ISC,sip,PRACK,"2017-11-06 14:34:38.313",258,P-CSCF,TA2D_NBG-ECAT215,Mw,sip,PRACK,"0,066"
iDNS,Originating,TA2E_LB_iDNS,217.243.182.26,"2017-11-06 14:34:37.166",215,iDNS,"NG-NP SLE903",DNS,dns,"NAPTR response","2017-11-06 14:34:37.168",216,iDNS,"NG-NP SLE902",DNS,dns,"NAPTR query","0,002"
