"Time Frame Start","Time Frame End","IMS Entity","IMS Entity Call Leg","Node Name","Presence in Calls","Average Processing Time (s)","Variance in Processing Time (s)","Std. Deviation in Forwarding Time (s)","Minimum Processing Time (s)","Maximum Processing Time (s)","95% Percentile of Processing Time (s)"
"2017-11-06 14:34","2017-11-06 14:35",iDNS,Originating,"NG-NP SLE902",1,"0,004","0,000","0,000","0,004","0,004","0,004"
"2017-11-06 14:34","2017-11-06 14:35",iDNS,Originating,"NG-NP SLE903",1,"0,001","0,000","0,000","0,001","0,001","0,001"
"2017-11-06 14:34","2017-11-06 14:35",HSS,Originating,TA2D_HSS1,1,"0,004","0,000","0,000","0,004","0,004","0,004"
"2017-11-06 14:34","2017-11-06 14:35",iDNS,Originating,TA2D_LB_iDNS,1,"0,009","0,000","0,000","0,009","0,009","0,009"
"2017-11-06 14:34","2017-11-06 14:35",MTAS,Terminating,TA2D_NBG-EATT216,1,"0,019","0,000","0,000","0,019","0,019","0,019"
"2017-11-06 14:34","2017-11-06 14:35",MTAS,Originating,TA2D_NBG-EATT216,1,"0,026","0,000","0,000","0,026","0,026","0,026"
"2017-11-06 14:34","2017-11-06 14:35",P-CSCF,Originating,TA2D_NBG-ECAT215,1,"0,039","0,000","0,000","0,039","0,039","0,039"
"2017-11-06 14:34","2017-11-06 14:35",P-CSCF,Terminating,TA2D_NBG-ECAT215,1,"0,040","0,000","0,000","0,040","0,040","0,040"
"2017-11-06 14:34","2017-11-06 14:35",RACS,Originating,TA2D_NBG_LISA1,1,"0,012","0,000","0,000","0,012","0,012","0,012"
"2017-11-06 14:34","2017-11-06 14:35",RACS,Terminating,TA2D_NBG_LISA4,1,"0,011","0,000","0,000","0,011","0,011","0,011"
"2017-11-06 14:34","2017-11-06 14:35",S-CSCF,"Originating & Terminating",TA2D_S-CSCF,1,"1,682","0,000","0,000","1,682","1,682","1,682"
"2017-11-06 14:34","2017-11-06 14:35",iDNS,Originating,TA2E_LB_iDNS,1,"0,002","0,000","0,000","0,002","0,002","0,002"
"2017-11-06 14:34","2017-11-06 14:35",LB-MZ,Originating,"TA2e LB-MZ NBG-ELRT225",1,"0,006","0,000","0,000","0,006","0,006","0,006"
"2017-11-06 14:34","2017-11-06 14:35",UA,Originating,"orig. UA",1,"3,719","0,000","0,000","3,719","3,719","3,719"
"2017-11-06 14:34","2017-11-06 14:35",UA,Terminating,"term. UA",1,"3,483","0,000","0,000","3,483","3,483","3,483"
