"Time Frame Start","Time Frame End","SIP Call ID","IMS Entity","IMS Entity Call Leg","Node Name","Forwarded Response Method","Associated Request Method","Forwarding Time for Response (s)"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,MTAS,Originating,TA2D_NBG-EATT216,"200 OK",BYE,"0,002"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,MTAS,Originating,TA2D_NBG-EATT216,"200 OK",INVITE,"0,002"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,MTAS,Originating,TA2D_NBG-EATT216,"180 Ringing",INVITE,"0,002"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,MTAS,Originating,TA2D_NBG-EATT216,"200 OK",PRACK,"0,001"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,P-CSCF,Terminating,TA2D_NBG-ECAT215,"200 OK",BYE,"0,002"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,P-CSCF,Terminating,TA2D_NBG-ECAT215,"200 OK",INVITE,"0,013"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,P-CSCF,Terminating,TA2D_NBG-ECAT215,"180 Ringing",INVITE,"0,002"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,P-CSCF,Terminating,TA2D_NBG-ECAT215,"200 OK",PRACK,"0,002"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,HSS-FE,Originating,Unknown-HSS-FE,"Answer (2001)",Request,"0,001"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,P-CSCF,Originating,TA2D_NBG-ECAT215,"200 OK",BYE,"0,002"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,P-CSCF,Originating,TA2D_NBG-ECAT215,"200 OK",INVITE,"0,013"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,P-CSCF,Originating,TA2D_NBG-ECAT215,"180 Ringing",INVITE,"0,002"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,P-CSCF,Originating,TA2D_NBG-ECAT215,"200 OK",PRACK,"0,002"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,MTAS,Terminating,TA2D_NBG-EATT216,"200 OK",BYE,"0,002"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,MTAS,Terminating,TA2D_NBG-EATT216,"200 OK",INVITE,"0,003"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,MTAS,Terminating,TA2D_NBG-EATT216,"180 Ringing",INVITE,"0,002"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,MTAS,Terminating,TA2D_NBG-EATT216,"200 OK",PRACK,"0,001"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,S-CSCF,"Originating & Terminating",TA2D_S-CSCF,"200 OK",BYE,"0,156"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,S-CSCF,"Originating & Terminating",TA2D_S-CSCF,"200 OK",INVITE,"0,247"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,S-CSCF,"Originating & Terminating",TA2D_S-CSCF,"180 Ringing",INVITE,"0,194"
"2017-11-06 14:34","2017-11-06 14:35",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,S-CSCF,"Originating & Terminating",TA2D_S-CSCF,"200 OK",PRACK,"0,139"
