first_node,second_node,direction,interface
asd11asd,a11sdads,both,Gm
YiwfqCZvyCQ,yycKpMNTxnlcya,both,U
CWWCsdu,AIMmm,both,1
YZIoYkXbvPwRWxBzfWZ,sRnxVkdJY,both,H
RsLNNi,XpKjqffaYYWMsZfo,both,Q
zijKapc,qxuxrKUvsKU,both,5
rOAwXvgvGNyudAglsC,kiUsifDShiDvnQbrCD,both,I
oirntAmjBcCpxR,IzJptHnoUKgaIlymYUt,both,z
iqYfKuTz,zmPQQeiYavGb,both,Q
jWwCBPvRSP,ayzUqgezSpQXEWu,both,h
maaHihpT,YHoyP,both,k
XYDYKnZRfPJMdszwEa,vOdWZrCkgeViKcXvWDA,both,I
anwkyB,clGcazhYgrNyGzrwqhIi,both,8
RTipfPUfDLiks,wtZtDGGNnvWMvsZYG,both,P
uoDpvz,lzAhiQfl,both,7
rFjGRwdYZWBcRy,QHFCcqtC,both,J
PiMtzuqwmrxaMelsnlOt,JHOqNnHgsKuKBBgZ,both,o
fAaEO,uQpsHsAEGLdZsTvBxrI,both,U
aZuDpWfRfLencRfqRY,kRmaRyVnZNRYnsu,both,#
BVodxPLVlmPmRcUoBg,pgoeyTEPXczCMldBCTn,both,T
ynmdBkREDvrv,MIZQFloNtCAvSpVm,both,C
SCytCpJNUtpzPjzhybu,jmhrYsTbBqkVhUt,both,v
lUUziGaS,VSISWLeOWSDHYQOl,both,w
XekUT,BbqsyuSIxUga,both,7
McappXplPrtJyH,DMRRRKTTJMLgOUGNrx,both,o
QyIPnnVkCA,cLoMrDZEsLhnKdMEji,both,T
lTFZAQ,xWKbNAYjUdWq,both,(
vKnSePtRBOpYxc,DqVmhi,both,l
auDaJsjkvWB,jxKIoURljWqHrqps,both,w
wehFXFA,UnVRYWQ,both,q
wohzyovXpXdyneKw,KPEowFUKgof,both,J
KKIdWebmHdsgQbS,OdEZbOJho,both,s
jMVHzVwGTpPKpeaTHgOv,EjjjrjnnL,both,K
ilAPEAsQjIoenaY,GOPOJJXNPu,both,0
wxPfDgrsIuVOaOtTKS,viXKhVeGMaF,both,F
aoeCgeplTV,rmULnZkLI,both,r
gmDXkZacoHEg,rKfte,both,O
XVQYHzApcZy,xNkdrPDKuqrdjidTf,both,M
JNpGIwSzCacVVDcuRUd,jCcUDFb,both,Z
tRtunqDOqQPYLA,VZddUKwCodqvxWYvL,both,i
ydvNYOzPUFpdyNJ,ZEhhGwgbatpZmJtqsLRy,both,F
tuUyeB,ZwpfHZVmfDQjBuX,both,D
BaeicFbvOttXioAQCrBb,AQNjPtDahz,both,g
LTGyee,vngOyuxDRZ,both,B
TbQjIaEyPEQJIApyiIN,itjtiYTudxPjqBpXNKxk,both,Y
IIgVGbB,fqkOIxGfNaZ,both,)
ngkFfgtmHF,nzPReTVpNbhMMa,both,k
YLoMvUhVxPg,EjaVgSXWx,both,v
ErRwqxkqiqFRPat,rMhUNiUGbvaMFEU,both,A
haEsYldxWW,EfahsAItCo,both,p
WnCxBXvs,OlyueHL,both,F
yuXhUXP,VjfWVsmbcpHlsToOvS,both,6
vldKouIIkKPRiAoMAty,NqzMlKZvATvOpx,both,H
rGyMtzR,VyhnsYzLUhkExNeQEc,both,8
GDUKB,hcNRPszpUbr,both,F
weeuSweuleOTicDpT,ZHjkNx,both,B
VdtvLCtZAJ,ftYMqrTEvjXqfMIVA,both,N
meKLJlKyVAWMox,cDMFEtaNyM,both,V
wzZwyaMrcfSvFKOEqrum,gbZYuoUw,both,3
YOZBBywyGHDW,BjtVcXJmzJWiBXc,both,9
XxXRm,bTlxtbmg,both,v
brdgsPTCXaWlc,TmDjzARN,both,y
RKFyiPAruOZm,BNfui,both,i
LujRi,OJFxOo,both,V
YJMNnOOaUkotAelGtb,oefOJCFg,both,i
ZvdxYoBG,seKQQRuemKhy,both,(
cclUPFeOOiZISWVo,QTLpHzWdssEOq,both,n
iszlaRRVlgjg,QhrtROtARVkdqpDZffK,both,(
uSezUurwNSEwaqqMOEK,byjKWWIZQIjJLPMQW,both,X
APieWbLbCQhVpX,DTGaQy,both,o
IruKr,xaLqjIQMuhpDlGHnR,both,d
prOHeH,jwbWBbXrdeZZzDHEV,both,P
eSXnkmOFuRMrJe,NPGdZQkFGo,both,X
MpXItwmPIHPi,omDZzPRrLD,both,D
