"IMS Entity","IMS Entity Call Leg","Node Name","Forwarded Response Method","Associated Request Method","Forwarding Time for Response (s)"
MTAS,Terminating,TA2D_NBG-EATT216,"200 OK",BYE,"0,002"
MTAS,Terminating,TA2D_NBG-EATT216,"200 OK",PRACK,"0,001"
MTAS,Terminating,TA2D_NBG-EATT216,"200 OK",INVITE,"0,003"
MTAS,Terminating,TA2D_NBG-EATT216,"180 Ringing",INVITE,"0,002"
MTAS,Originating,TA2D_NBG-EATT216,"200 OK",BYE,"0,002"
MTAS,Originating,TA2D_NBG-EATT216,"200 OK",PRACK,"0,001"
MTAS,Originating,TA2D_NBG-EATT216,"200 OK",INVITE,"0,002"
MTAS,Originating,TA2D_NBG-EATT216,"180 Ringing",INVITE,"0,002"
P-CSCF,Originating,TA2D_NBG-ECAT215,"200 OK",BYE,"0,002"
P-CSCF,Originating,TA2D_NBG-ECAT215,"200 OK",PRACK,"0,002"
P-CSCF,Originating,TA2D_NBG-ECAT215,"200 OK",INVITE,"0,013"
P-CSCF,Originating,TA2D_NBG-ECAT215,"180 Ringing",INVITE,"0,002"
P-CSCF,Terminating,TA2D_NBG-ECAT215,"200 OK",BYE,"0,002"
P-CSCF,Terminating,TA2D_NBG-ECAT215,"200 OK",PRACK,"0,002"
P-CSCF,Terminating,TA2D_NBG-ECAT215,"200 OK",INVITE,"0,013"
P-CSCF,Terminating,TA2D_NBG-ECAT215,"180 Ringing",INVITE,"0,002"
S-CSCF,"Originating & Terminating",TA2D_S-CSCF,"200 OK",BYE,"0,156"
S-CSCF,"Originating & Terminating",TA2D_S-CSCF,"200 OK",PRACK,"0,139"
S-CSCF,"Originating & Terminating",TA2D_S-CSCF,"200 OK",INVITE,"0,247"
S-CSCF,"Originating & Terminating",TA2D_S-CSCF,"180 Ringing",INVITE,"0,194"
HSS-FE,Originating,Unknown-HSS-FE,"Answer (2001)",Request,"0,001"
