Interface,Protocol,"Duration (s)","Transaction ID","Request Time","SIP Dialog Call ID","Request IMS Entity","Request IMS Entity Call Leg","Request Node Name","Request IP Address","Request Method","Request Packet ID","Response Time","Response IMS Entity","Response IMS Entity Call Leg","Response Node Name","Response IP Address","Response Method","Response Packet ID"
Gm,sip,"1,068",z9hG4bK3da2c4316874fd8cd71fd939bdd7b085,"2017-11-06 14:34:36.912",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,UA,Originating,"orig. UA",51.1.4.7,INVITE,1,"2017-11-06 14:34:37.980",P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.181.186,"180 Ringing",49
Gm,sip,"4,382",z9hG4bK3da2c4316874fd8cd71fd939bdd7b085,"2017-11-06 14:34:36.912",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,UA,Originating,"orig. UA",51.1.4.7,INVITE,1,"2017-11-06 14:34:41.294",P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.181.186,"200 OK",77
Gq',diameter,"0,012",rq.NBG-ECAT215--GEP-M0-S11-S15.tel2.ver.sul.t-online.de;1558426183;454378;ppb1_bs9@blade_0_11,"2017-11-06 14:34:36.918",'-,P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.180.133,Request,2,"2017-11-06 14:34:36.930",RACS,Originating,TA2D_NBG_LISA1,217.89.20.18,"Answer (2001)",3
Mw,sip,"1,036",z9hG4bKg3Zqkv7ix3ygp39v18w4y4sxpx3nwehy3,"2017-11-06 14:34:36.942",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.180.133,INVITE,4,"2017-11-06 14:34:37.978",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"180 Ringing",48
Mw,sip,"4,339",z9hG4bKg3Zqkv7ix3ygp39v18w4y4sxpx3nwehy3,"2017-11-06 14:34:36.942",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.180.133,INVITE,4,"2017-11-06 14:34:41.281",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"200 OK",76
ISC,sip,"0,851",z9hG4bK62c34dc469a9b20bfb0e67552c0cfb01maaaaaaiaaaaaak5xc4sqaaaaaif1j24zaaabhwq3Zqkv7y1lv1budby5ntmaaaaabqaaaaaabaaaaaaa,"2017-11-06 14:34:37.078",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,INVITE,6,"2017-11-06 14:34:37.929",MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,"180 Ringing",47
ISC,sip,"4,138",z9hG4bK62c34dc469a9b20bfb0e67552c0cfb01maaaaaaiaaaaaak5xc4sqaaaaaif1j24zaaabhwq3Zqkv7y1lv1budby5ntmaaaaabqaaaaaabaaaaaaa,"2017-11-06 14:34:37.078",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,INVITE,6,"2017-11-06 14:34:41.216",MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,"200 OK",75
ISC,sip,"0,832",z9hG4bK2214765889-1265974141,"2017-11-06 14:34:37.095",p65540t1509975277m78183c3831486s2,MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,INVITE,8,"2017-11-06 14:34:37.927",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"180 Ringing",46
ISC,sip,"4,119",z9hG4bK2214765889-1265974141,"2017-11-06 14:34:37.095",p65540t1509975277m78183c3831486s2,MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,INVITE,8,"2017-11-06 14:34:41.214",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"200 OK",74
DNS,dns,"0,015",0.x000.098.6f,"2017-11-06 14:34:37.161",'-,S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"NAPTR query",10,"2017-11-06 14:34:37.176",iDNS,Originating,TA2D_LB_iDNS,217.243.180.12,"NAPTR response",20
DNS,dns,"0,002",0.x000.06df0,"2017-11-06 14:34:37.164",'-,iDNS,Originating,TA2D_LB_iDNS,217.243.180.12,"NAPTR query",11,"2017-11-06 14:34:37.166",LB-MZ,Originating,"TA2e LB-MZ NBG-ELRT225",217.243.182.25,"NAPTR response",14
DNS,dns,"0,001",0.x000.06df0,"2017-11-06 14:34:37.165",'-,iDNS,Originating,TA2E_LB_iDNS,217.243.182.26,"NAPTR query",12,"2017-11-06 14:34:37.166",iDNS,Originating,"NG-NP SLE903",80.156.154.7,"NAPTR response",15
DNS,dns,"0,004",0.x000.03df3,"2017-11-06 14:34:37.168",'-,iDNS,Originating,TA2E_LB_iDNS,217.243.182.26,"NAPTR query",16,"2017-11-06 14:34:37.172",iDNS,Originating,"NG-NP SLE902",80.156.154.6,"NAPTR response",18
DNS,dns,"0,004",0.x000.03df3,"2017-11-06 14:34:37.168",'-,iDNS,Originating,TA2D_LB_iDNS,217.243.180.12,"NAPTR query",17,"2017-11-06 14:34:37.172",LB-MZ,Originating,"TA2e LB-MZ NBG-ELRT225",217.243.182.25,"NAPTR response",19
'-,diameter,"0,012",NBG-ESCT215.tel2.ver.sul.t-online.de;1509975277;277570;cbf87fd8,"2017-11-06 14:34:37.334",'-,S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,Request,21,"2017-11-06 14:34:37.346",HSS-FE,Originating,Unknown-HSS-FE,80.156.138.97,"Answer (2001)",30
Cx,diameter,"0,004",NBG-ESCT215.tel2.ver.sul.t-online.de;1509975277;277570;cbf87fd8,"2017-11-06 14:34:37.341",'-,HSS-FE,Originating,Unknown-HSS-FE,80.156.138.97,Request,27,"2017-11-06 14:34:37.345",HSS,Originating,TA2D_HSS1,217.243.180.1,"Answer (2001)",29
ISC,sip,"0,382",z9hG4bKd62402625504c44687817fc64d32c75dmaaaaaaiaaaaaadjwu4rqaaaaaif1j24zaaabhwy3Zqkv7yzp2h5wbcesji2aaaaabqaaaaaabaaaaaaa,"2017-11-06 14:34:37.451",p65540t1509975277m78183c3831486s2,S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,INVITE,32,"2017-11-06 14:34:37.833",MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,"180 Ringing",45
ISC,sip,"3,642",z9hG4bKd62402625504c44687817fc64d32c75dmaaaaaaiaaaaaadjwu4rqaaaaaif1j24zaaabhwy3Zqkv7yzp2h5wbcesji2aaaaabqaaaaaabaaaaaaa,"2017-11-06 14:34:37.451",p65540t1509975277m78183c3831486s2,S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,INVITE,32,"2017-11-06 14:34:41.093",MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,"200 OK",73
ISC,sip,"0,370",z9hG4bK2215135809-1348907529,"2017-11-06 14:34:37.461",p65540t1509975277m450407c3831488s2,MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,INVITE,34,"2017-11-06 14:34:37.831",S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,"180 Ringing",44
ISC,sip,"3,629",z9hG4bK2215135809-1348907529,"2017-11-06 14:34:37.461",p65540t1509975277m450407c3831488s2,MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,INVITE,34,"2017-11-06 14:34:41.090",S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,"200 OK",72
Mw,sip,"0,206",z9hG4bKf0ca797be8a0098371c5e960ed061df9jaaaaaaiaaaaaamx4xbca3Zqkv7a1pqcs5abwupkmaaaaabqaaaacqac0tkliiwu1kiaaaaoeaaqrnhqaeelj2aq,"2017-11-06 14:34:37.578",p65540t1509975277m450407c3831488s2,S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,INVITE,36,"2017-11-06 14:34:37.784",P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.180.133,"180 Ringing",43
Mw,sip,"3,456",z9hG4bKf0ca797be8a0098371c5e960ed061df9jaaaaaaiaaaaaamx4xbca3Zqkv7a1pqcs5abwupkmaaaaabqaaaacqac0tkliiwu1kiaaaaoeaaqrnhqaeelj2aq,"2017-11-06 14:34:37.578",p65540t1509975277m450407c3831488s2,S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,INVITE,36,"2017-11-06 14:34:41.034",P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.180.133,"200 OK",71
Gq',diameter,"0,011",rq.NBG-ECAT215--GEP-M0-S11-S15.tel2.ver.sul.t-online.de;1558426183;454380;ppb1_bs9@blade_0_11,"2017-11-06 14:34:37.585",'-,P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.180.133,Request,37,"2017-11-06 14:34:37.596",RACS,Terminating,TA2D_NBG_LISA4,217.89.20.49,"Answer (2001)",38
Gm,sip,"0,175",z9hG4bKg3Zqkv7ini9p72f7cn2m2llqhfx2xh65m,"2017-11-06 14:34:37.607",p65540t1509975277m450407c3831488s2,P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.181.186,INVITE,39,"2017-11-06 14:34:37.782",UA,Terminating,"term. UA",51.1.6.53,"180 Ringing",42
Gm,sip,"3,414",z9hG4bKg3Zqkv7ini9p72f7cn2m2llqhfx2xh65m,"2017-11-06 14:34:37.607",p65540t1509975277m450407c3831488s2,P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.181.186,INVITE,39,"2017-11-06 14:34:41.021",UA,Terminating,"term. UA",51.1.6.53,"200 OK",70
Gm,sip,"0,506",z9hG4bKc0f3f414837dc2c1397b1d1be80b5bd5,"2017-11-06 14:34:38.018",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,UA,Originating,"orig. UA",51.1.4.7,PRACK,50,"2017-11-06 14:34:38.524",P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.181.186,"200 OK",69
Mw,sip,"0,502",z9hG4bKg3Zqkv7ihu5b9dshci6x7e9e2dh8sxpzg,"2017-11-06 14:34:38.020",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.180.133,PRACK,51,"2017-11-06 14:34:38.522",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"200 OK",68
