"STIME"	"NE_ID"	"OBJID"	"A_PARTYLOCATION"	"B_PARTYLOCATION"	"A_PARTYCARRIER"	"B_PARTYCARRIER"	"A_PARTYTECHNOLOGY"	"B_PARTYTECHNOLOGY"	"A_PARTYNUMBER"	"CODEC"	"MCC"	"MNC"	"LAC"	"CELLID"	"CHANNEL"	"SIGNAL_LEVEL"	"CALLTYPE"	"DIALINGTIME_CET"	"CONNECTTIME_CET"	"CALLSETUPDURATION"	"CALLSETUPSUCCESSRATIO"	"CONNECTSETUPDURATION"	"CONNECTSETUPSUCCESSRATIO"	"CALLDROPRATIO"	"CALLSERVICEAVAILABILITY"	"AUDIOLOOPS_AB"	"AUDIOLOOPS_BA"	"MOS_AB"	"MOS_AB_SUM"	"MOS_BA"	"MOS_BA_SUM"	"SPEECHDELAY_AB"	"SPEECHDELAY_AB_SUM"	"SPEECHDELAY_BA"	"SPEECHDELAY_BA_SUM"	"MTEXPECTED_AB"	"MTEXPECTED_BA"	"MTRECORDED_AB"	"MTRECORDED_BA"	"MTSUCCESSRATE"
"190220 00:02"	"CALL"	"1"	"Darmstadt"	"Darmstadt"	"Telekom 2"	"Telekom"	"NGN ISDN"	"ISDN"	"61511535878"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to ISDN"	"2019.02.20 00:02:10"	"2019.02.20 00:02:11"	"1673"	"100"	"1802"	"100"	"0"	"1"	"2"	"2"	"3.66"	"7.31"	"3.6"	"7.21"	"54.914"	"109.827"	"50.763"	"101.527"	"12"	"12"	"12"	"12"	"100"
"190220 00:02"	"CALL"	"2"	"Darmstadt"	"Darmstadt"	"Telekom 4"	"Telekom"	"NGN ISDN"	"ISDN"	"61516673685"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to ISDN"	"2019.02.20 00:02:10"	"2019.02.20 00:02:12"	"1809"	"100"	"1885"	"100"	"0"	"1"	"2"	"2"	"3.62"	"7.25"	"3.61"	"7.23"	"54.32"	"108.639"	"52.368"	"104.736"	"12"	"12"	"12"	"12"	"100"
"190220 00:02"	"CALL"	"3"	"Darmstadt"	"Darmstadt"	"Telekom 1"	"Telekom"	"NGN ISDN"	"ISDN"	"61518606372"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to ISDN"	"2019.02.20 00:02:10"	"2019.02.20 00:02:12"	"1889"	"100"	"1957"	"100"	"0"	"1"	"2"	"2"	"3.62"	"7.25"	"3.6"	"7.2"	"54.706"	"109.411"	"51.836"	"103.673"	"12"	"12"	"12"	"12"	"100"
"190220 00:02"	"CALL"	"4"	"Darmstadt"	"Darmstadt"	"Telekom 3"	"Telekom"	"NGN ISDN"	"ISDN"	"61516673686"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to ISDN"	"2019.02.20 00:02:11"	"2019.02.20 00:02:13"	"1815"	"100"	"1913"	"100"	"0"	"1"	"2"	"2"	"3.63"	"7.27"	"3.63"	"7.25"	"55.57"	"111.14"	"53.992"	"107.985"	"12"	"12"	"12"	"12"	"100"
"190220 00:02"	"CALL"	"5"	"Darmstadt"	"Darmstadt"	"Telekom 6"	"Telekom 5"	"NGN ISDN"	"NGN ISDN"	"61519578166"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN"	"2019.02.20 00:02:23"	"2019.02.20 00:02:23"	"291"	"100"	"373"	"100"	"0"	"1"	"2"	"2"	"4.46"	"8.93"	"4.48"	"8.97"	"45.274"	"90.549"	"46.622"	"93.243"	"12"	"12"	"12"	"12"	"100"
"190220 00:02"	"CALL"	"6"	"Darmstadt"	"Darmstadt"	"Telekom 5"	"Telekom 6"	"NGN ISDN"	"NGN ISDN"	"61519578179"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN"	"2019.02.20 00:02:23"	"2019.02.20 00:02:23"	"272"	"100"	"393"	"100"	"0"	"1"	"2"	"2"	"4.49"	"8.97"	"4.5"	"8.99"	"46.111"	"92.221"	"45.024"	"90.049"	"12"	"12"	"12"	"12"	"100"
"190220 00:02"	"CALL"	"7"	"Darmstadt"	"Darmstadt"	"Telekom 7"	"Telekom 8"	"NGN ISDN"	"NGN ISDN"	"61519578186"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN"	"2019.02.20 00:02:29"	"2019.02.20 00:02:29"	"268"	"100"	"370"	"100"	"0"	"1"	"2"	"2"	"4.49"	"8.98"	"4.46"	"8.92"	"47.817"	"95.634"	"47.453"	"94.907"	"12"	"12"	"12"	"12"	"100"
"190220 00:02"	"CALL"	"8"	"Darmstadt"	"Darmstadt"	"Telekom 8"	"Telekom 7"	"NGN ISDN"	"NGN ISDN"	"61519578781"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN"	"2019.02.20 00:02:29"	"2019.02.20 00:02:29"	"260"	"100"	"388"	"100"	"0"	"1"	"2"	"2"	"4.47"	"8.94"	"4.49"	"8.98"	"46.349"	"92.698"	"48.432"	"96.863"	"12"	"12"	"12"	"12"	"100"
"190220 00:03"	"CALL"	"9"	"Darmstadt"	"Darmstadt"	"Telekom 2"	"Telekom"	"NGN ISDN"	"ISDN"	"61511535878"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to ISDN with Dataload"	"2019.02.20 00:03:59"	"2019.02.20 00:04:01"	"1770"	"100"	"1893"	"100"	"0"	"1"	"2"	"2"	"3.65"	"7.3"	"3.61"	"7.22"	"44.85"	"89.699"	"61.484"	"122.968"	"12"	"12"	"12"	"12"	"100"
"190220 00:03"	"CALL"	"10"	"Darmstadt"	"Darmstadt"	"Telekom 1"	"Telekom"	"NGN ISDN"	"ISDN"	"61518606372"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to ISDN with Dataload"	"2019.02.20 00:03:59"	"2019.02.20 00:04:01"	"1831"	"100"	"1899"	"100"	"0"	"1"	"2"	"2"	"3.62"	"7.24"	"3.61"	"7.23"	"47.079"	"94.158"	"61.14"	"122.28"	"12"	"12"	"12"	"12"	"100"
"190220 00:04"	"CALL"	"11"	"Darmstadt"	"Darmstadt"	"Telekom 4"	"Telekom"	"NGN ISDN"	"ISDN"	"61516673685"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to ISDN with Dataload"	"2019.02.20 00:04:00"	"2019.02.20 00:04:02"	"1767"	"100"	"1841"	"100"	"0"	"1"	"2"	"2"	"3.67"	"7.34"	"3.61"	"7.23"	"45.985"	"91.97"	"63.462"	"126.925"	"12"	"12"	"12"	"12"	"100"
"190220 00:04"	"CALL"	"12"	"Darmstadt"	"Darmstadt"	"Telekom 3"	"Telekom"	"NGN ISDN"	"ISDN"	"61516673686"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to ISDN with Dataload"	"2019.02.20 00:04:01"	"2019.02.20 00:04:02"	"1807"	"100"	"1885"	"100"	"0"	"1"	"2"	"2"	"3.62"	"7.25"	"3.64"	"7.28"	"48.558"	"97.116"	"60.14"	"120.28"	"12"	"12"	"12"	"12"	"100"
"190220 00:04"	"CALL"	"13"	"Darmstadt"	"Darmstadt"	"Telekom 5"	"Telekom 6"	"NGN ISDN"	"NGN ISDN"	"61519578179"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN with Dataload"	"2019.02.20 00:04:08"	"2019.02.20 00:04:08"	"278"	"100"	"396"	"100"	"0"	"1"	"2"	"2"	"4.46"	"8.92"	"4.45"	"8.9"	"48.411"	"96.823"	"47.901"	"95.801"	"12"	"12"	"12"	"12"	"100"
"190220 00:04"	"CALL"	"14"	"Darmstadt"	"Darmstadt"	"Telekom 6"	"Telekom 5"	"NGN ISDN"	"NGN ISDN"	"61519578166"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN with Dataload"	"2019.02.20 00:04:08"	"2019.02.20 00:04:09"	"277"	"100"	"375"	"100"	"0"	"1"	"2"	"2"	"4.48"	"8.96"	"4.49"	"8.98"	"48.516"	"97.031"	"49.37"	"98.74"	"12"	"12"	"12"	"12"	"100"
"190220 00:04"	"CALL"	"15"	"Darmstadt"	"Darmstadt"	"Telekom 7"	"Telekom 8"	"NGN ISDN"	"NGN ISDN"	"61519578186"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN with Dataload"	"2019.02.20 00:04:14"	"2019.02.20 00:04:14"	"279"	"100"	"389"	"100"	"0"	"1"	"2"	"2"	"4.5"	"9.01"	"4.46"	"8.92"	"49.023"	"98.047"	"46.747"	"93.493"	"12"	"12"	"12"	"12"	"100"
"190220 00:04"	"CALL"	"16"	"Darmstadt"	"Darmstadt"	"Telekom 8"	"Telekom 7"	"NGN ISDN"	"NGN ISDN"	"61519578781"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN with Dataload"	"2019.02.20 00:04:14"	"2019.02.20 00:04:15"	"283"	"100"	"409"	"100"	"0"	"1"	"2"	"2"	"4.48"	"8.96"	"4.47"	"8.93"	"46.195"	"92.39"	"48.138"	"96.276"	"12"	"12"	"12"	"12"	"100"
